23:01:28.248 - accX: -8, accY: 2, accZ: 60
23:01:28.271 - accX: -7, accY: 1, accZ: 60
23:01:28.283 - accX: -8, accY: 2, accZ: 59
23:01:28.302 - accX: -7, accY: 1, accZ: 60
23:01:28.313 - accX: -7, accY: 1, accZ: 59
23:01:28.332 - accX: -8, accY: 2, accZ: 60
23:01:28.343 - accX: -7, accY: 1, accZ: 60
23:01:28.360 - accX: -7, accY: 1, accZ: 60
23:01:28.378 - accX: -7, accY: 1, accZ: 59
23:01:28.398 - accX: -7, accY: 2, accZ: 60
23:01:28.408 - accX: -8, accY: 1, accZ: 61
23:01:28.425 - accX: -7, accY: 2, accZ: 60
23:01:28.444 - accX: -7, accY: 0, accZ: 60
23:01:28.454 - accX: -7, accY: 1, accZ: 60
23:01:28.482 - accX: -7, accY: 2, accZ: 61
23:01:28.515 - accX: -8, accY: 1, accZ: 60
23:01:28.541 - accX: -8, accY: 1, accZ: 60
23:01:28.559 - accX: -7, accY: 1, accZ: 60
23:01:28.582 - accX: -8, accY: 2, accZ: 59
23:01:28.614 - accX: -8, accY: 2, accZ: 60
23:01:28.637 - accX: -8, accY: 2, accZ: 60
23:01:28.659 - accX: -8, accY: 1, accZ: 60
23:01:28.681 - accX: -7, accY: 2, accZ: 60
23:01:28.704 - accX: -8, accY: 2, accZ: 60
23:01:28.713 - accX: -7, accY: 1, accZ: 60
23:01:28.730 - accX: -8, accY: 2, accZ: 60
23:01:28.741 - accX: -6, accY: 1, accZ: 60
23:01:28.759 - accX: -7, accY: 2, accZ: 60
23:01:28.789 - accX: -8, accY: 2, accZ: 60
23:01:28.811 - accX: -7, accY: 1, accZ: 60
23:01:28.839 - accX: -7, accY: 2, accZ: 60
23:01:28.869 - accX: -7, accY: 1, accZ: 60
23:01:28.888 - accX: -7, accY: 2, accZ: 60
23:01:28.905 - accX: -8, accY: 2, accZ: 59
23:01:28.918 - accX: -8, accY: 2, accZ: 60
23:01:28.937 - accX: -8, accY: 1, accZ: 59
23:01:28.958 - accX: -7, accY: 1, accZ: 59
23:01:28.982 - accX: -8, accY: 2, accZ: 60
23:01:29.020 - accX: -7, accY: 2, accZ: 60
23:01:29.058 - accX: -8, accY: 2, accZ: 61
23:01:29.074 - accX: -8, accY: 1, accZ: 60
23:01:29.099 - accX: -7, accY: 2, accZ: 60
23:01:29.116 - accX: -7, accY: 0, accZ: 60
23:01:29.125 - accX: -6, accY: 1, accZ: 60
23:01:29.136 - accX: -7, accY: 2, accZ: 60
23:01:29.160 - accX: -6, accY: 2, accZ: 60
23:01:29.175 - accX: -7, accY: 1, accZ: 60
23:01:29.187 - accX: -7, accY: 1, accZ: 60
23:01:29.205 - accX: -8, accY: 1, accZ: 60
23:01:29.217 - accX: -7, accY: 2, accZ: 60
23:01:29.237 - accX: -7, accY: 1, accZ: 60
23:01:29.255 - accX: -8, accY: 1, accZ: 60
23:01:29.280 - accX: -8, accY: 2, accZ: 61
23:01:29.304 - accX: -8, accY: 2, accZ: 59
23:01:29.342 - accX: -8, accY: 1, accZ: 60
23:01:29.366 - accX: -7, accY: 2, accZ: 60
23:01:29.375 - accX: -8, accY: 1, accZ: 59
23:01:29.404 - accX: -8, accY: 2, accZ: 59
23:01:29.416 - accX: -8, accY: 1, accZ: 60
23:01:29.427 - accX: -8, accY: 1, accZ: 59
23:01:29.437 - accX: -8, accY: 1, accZ: 60
23:01:29.455 - accX: -7, accY: 2, accZ: 60
23:01:29.476 - accX: -8, accY: 1, accZ: 60
23:01:29.488 - accX: -7, accY: 1, accZ: 61
23:01:29.507 - accX: -7, accY: 1, accZ: 60
23:01:29.519 - accX: -8, accY: 2, accZ: 60
23:01:29.540 - accX: -7, accY: 1, accZ: 60
23:01:29.570 - accX: -7, accY: 1, accZ: 59
23:01:29.601 - accX: -7, accY: 1, accZ: 59
23:01:29.622 - accX: -8, accY: 2, accZ: 59
23:01:29.651 - accX: -7, accY: 1, accZ: 60
23:01:29.673 - accX: -8, accY: 2, accZ: 60
23:01:29.686 - accX: -7, accY: 2, accZ: 60
23:01:29.696 - accX: -8, accY: 1, accZ: 60
23:01:29.706 - accX: -7, accY: 1, accZ: 59
23:01:29.727 - accX: -7, accY: 1, accZ: 59
23:01:29.769 - accX: -8, accY: 2, accZ: 60
23:01:29.806 - accX: -8, accY: 1, accZ: 60
23:01:29.835 - accX: -7, accY: 2, accZ: 59
23:01:29.857 - accX: -7, accY: 2, accZ: 60
23:01:29.867 - accX: -8, accY: 1, accZ: 60
23:01:29.888 - accX: -7, accY: 1, accZ: 60
23:01:29.901 - accX: -7, accY: 1, accZ: 60
23:01:29.919 - accX: -8, accY: 2, accZ: 60
23:01:29.932 - accX: -8, accY: 1, accZ: 59
23:01:29.952 - accX: -8, accY: 2, accZ: 59
23:01:29.965 - accX: -8, accY: 2, accZ: 59
23:01:29.987 - accX: -7, accY: 1, accZ: 60
23:01:30.019 - accX: -7, accY: 2, accZ: 60
23:01:30.045 - accX: -7, accY: 1, accZ: 60
23:01:30.074 - accX: -7, accY: 0, accZ: 60
23:01:30.095 - accX: -7, accY: 2, accZ: 60
23:01:30.117 - accX: -7, accY: 1, accZ: 60
23:01:30.150 - accX: -7, accY: 2, accZ: 60
23:01:30.167 - accX: -7, accY: 1, accZ: 60
23:01:30.184 - accX: -7, accY: 2, accZ: 60
23:01:30.205 - accX: -8, accY: 1, accZ: 59
23:01:30.223 - accX: -8, accY: 2, accZ: 60
23:01:30.237 - accX: -8, accY: 0, accZ: 60
23:01:30.251 - accX: -7, accY: 1, accZ: 60
23:01:30.262 - accX: -7, accY: 2, accZ: 60
23:01:30.281 - accX: -8, accY: 2, accZ: 60
23:01:30.293 - accX: -7, accY: 1, accZ: 60
23:01:30.313 - accX: -8, accY: 1, accZ: 60
23:01:30.332 - accX: -8, accY: 2, accZ: 60
23:01:30.363 - accX: -8, accY: 2, accZ: 59
23:01:30.396 - accX: -7, accY: 1, accZ: 61
23:01:30.437 - accX: -7, accY: 2, accZ: 61
23:01:30.452 - accX: -7, accY: 1, accZ: 60
23:01:30.474 - accX: -8, accY: 1, accZ: 60
23:01:30.487 - accX: -8, accY: 1, accZ: 60
23:01:30.506 - accX: -8, accY: 1, accZ: 60
23:01:30.518 - accX: -7, accY: 1, accZ: 60
23:01:30.538 - accX: -8, accY: 1, accZ: 60
23:01:30.550 - accX: -8, accY: 1, accZ: 60
23:01:30.583 - accX: -7, accY: 2, accZ: 60
23:01:30.621 - accX: -7, accY: 1, accZ: 59
23:01:30.651 - accX: -8, accY: 2, accZ: 60
23:01:30.678 - accX: -8, accY: 1, accZ: 60
23:01:30.692 - accX: -8, accY: 2, accZ: 59
23:01:30.714 - accX: -8, accY: 1, accZ: 60
23:01:30.725 - accX: -7, accY: 1, accZ: 59
23:01:30.737 - accX: -8, accY: 2, accZ: 60
23:01:30.753 - accX: -8, accY: 1, accZ: 60
23:01:30.775 - accX: -8, accY: 1, accZ: 60
23:01:30.796 - accX: -8, accY: 1, accZ: 61
23:01:30.821 - accX: -8, accY: 2, accZ: 59
23:01:30.850 - accX: -7, accY: 1, accZ: 59
23:01:30.889 - accX: -7, accY: 1, accZ: 60
23:01:30.921 - accX: -7, accY: 1, accZ: 60
23:01:30.933 - accX: -8, accY: 1, accZ: 60
23:01:30.944 - accX: -8, accY: 1, accZ: 60
23:01:30.961 - accX: -7, accY: 1, accZ: 60
23:01:30.983 - accX: -7, accY: 1, accZ: 60
23:01:30.998 - accX: -7, accY: 2, accZ: 60
23:01:31.008 - accX: -8, accY: 2, accZ: 61
23:01:31.030 - accX: -8, accY: 1, accZ: 59
23:01:31.045 - accX: -8, accY: 2, accZ: 60
23:01:31.073 - accX: -8, accY: 1, accZ: 59
23:01:31.120 - accX: -8, accY: 2, accZ: 59
23:01:31.144 - accX: -8, accY: 1, accZ: 59
23:01:31.165 - accX: -8, accY: 1, accZ: 59
23:01:31.181 - accX: -7, accY: 1, accZ: 60
23:01:31.201 - accX: -7, accY: 2, accZ: 60
23:01:31.223 - accX: -8, accY: 2, accZ: 60
23:01:31.256 - accX: -7, accY: 1, accZ: 60
23:01:31.284 - accX: -8, accY: 1, accZ: 60
23:01:31.306 - accX: -7, accY: 0, accZ: 60
23:01:31.328 - accX: -8, accY: 1, accZ: 60
23:01:31.350 - accX: -7, accY: 2, accZ: 60
23:01:31.380 - accX: -7, accY: 2, accZ: 61
23:01:31.401 - accX: -7, accY: 1, accZ: 59
23:01:31.427 - accX: -7, accY: 1, accZ: 60
23:01:31.449 - accX: -8, accY: 1, accZ: 59
23:01:31.480 - accX: -8, accY: 1, accZ: 60
23:01:31.497 - accX: -7, accY: 1, accZ: 60
