14:23:35.460 - accX: -26, accY: 0, accZ: -53
14:23:35.477 - accX: -127, accY: -65, accZ: -108
14:23:35.510 - accX: 15, accY: -36, accZ: -48
14:23:35.547 - accX: 45, accY: -44, accZ: -41
14:23:35.578 - accX: 23, accY: -69, accZ: 51
14:23:35.598 - accX: 0, accY: -15, accZ: 13
14:23:35.610 - accX: 84, accY: 78, accZ: 117
14:23:35.623 - accX: 24, accY: 27, accZ: 24
14:23:35.649 - accX: 5, accY: 6, accZ: -1
14:23:35.688 - accX: 108, accY: -66, accZ: -125
14:23:35.721 - accX: 23, accY: -51, accZ: -55
14:23:35.756 - accX: 33, accY: -39, accZ: -32
14:23:35.784 - accX: 38, accY: -32, accZ: -5
14:23:35.812 - accX: 25, accY: -22, accZ: -6
14:23:35.840 - accX: 121, accY: 109, accZ: -8
14:23:35.876 - accX: 45, accY: 36, accZ: -11
14:23:35.910 - accX: 40, accY: 22, accZ: -10
14:23:35.941 - accX: 3, accY: -41, accZ: -13
14:23:35.958 - accX: -126, accY: -128, accZ: 2
14:23:35.972 - accX: -26, accY: -41, accZ: 9
14:23:35.986 - accX: -36, accY: -62, accZ: 26
14:23:35.998 - accX: -11, accY: -41, accZ: 23
14:23:36.028 - accX: 37, accY: -38, accZ: 37
14:23:36.052 - accX: 29, accY: -36, accZ: 22
14:23:36.067 - accX: 56, accY: -5, accZ: 23
14:23:36.079 - accX: 55, accY: 27, accZ: -9
14:23:36.091 - accX: 105, accY: 59, accZ: -71
14:23:36.116 - accX: 43, accY: 21, accZ: -35
14:23:36.129 - accX: 36, accY: -2, accZ: -30
14:23:36.142 - accX: 54, accY: -32, accZ: -40
14:23:36.154 - accX: 3, accY: -126, accZ: -82
14:23:36.181 - accX: -6, accY: -72, accZ: -13
14:23:36.194 - accX: 53, accY: -87, accZ: 11
14:23:36.208 - accX: 44, accY: -53, accZ: 43
14:23:36.218 - accX: 33, accY: -34, accZ: 42
14:23:36.241 - accX: 63, accY: 5, accZ: 60
14:23:36.262 - accX: 60, accY: 47, accZ: 43
14:23:36.299 - accX: 73, accY: -30, accZ: -43
14:23:36.335 - accX: 49, accY: -24, accZ: -43
14:23:36.369 - accX: 50, accY: -28, accZ: -44
14:23:36.402 - accX: 60, accY: -43, accZ: -44
14:23:36.429 - accX: 24, accY: -113, accZ: 117
14:23:36.441 - accX: 26, accY: -44, accZ: 39
14:23:36.458 - accX: 32, accY: -35, accZ: 40
14:23:36.474 - accX: 76, accY: 39, accZ: 79
14:23:36.489 - accX: 52, accY: 43, accZ: 17
14:23:36.511 - accX: 86, accY: -9, accZ: -57
14:23:36.529 - accX: 36, accY: -21, accZ: -35
14:23:36.543 - accX: 56, accY: -70, accZ: -38
14:23:36.555 - accX: -5, accY: -94, accZ: -64
14:23:36.568 - accX: -46, accY: -74, accZ: 32
14:23:36.584 - accX: -34, accY: -47, accZ: 28
14:23:36.612 - accX: 3, accY: -7, accZ: -10
14:23:36.628 - accX: 75, accY: 43, accZ: 54
14:23:36.642 - accX: 79, accY: 52, accZ: -27
14:23:36.657 - accX: 38, accY: -6, accZ: 17
14:23:36.674 - accX: 114, accY: -47, accZ: -18
14:23:36.688 - accX: 68, accY: -49, accZ: -62
14:23:36.703 - accX: 25, accY: -56, accZ: -60
14:23:36.719 - accX: -5, accY: -86, accZ: -83
14:23:36.747 - accX: -33, accY: -48, accZ: 15
14:23:36.763 - accX: -36, accY: -43, accZ: 21
14:23:36.785 - accX: -2, accY: -25, accZ: 14
14:23:36.801 - accX: 74, accY: -93, accZ: 99
14:23:36.813 - accX: 16, accY: -12, accZ: 16
14:23:36.825 - accX: 33, accY: 36, accZ: 33
14:23:36.849 - accX: 11, accY: 26, accZ: -9
14:23:36.863 - accX: 127, accY: 18, accZ: -108
14:23:36.899 - accX: -3, accY: -22, accZ: -27
14:23:36.913 - accX: 116, accY: -95, accZ: -105
14:23:36.939 - accX: 72, accY: -53, accZ: 15
14:23:36.953 - accX: 23, accY: -29, accZ: 38
14:23:36.969 - accX: 21, accY: 48, accZ: 19
14:23:36.983 - accX: 39, accY: 59, accZ: 22
14:23:36.995 - accX: 16, accY: 23, accZ: -6
