12:22:15.220 - accX: 1, accY: 2, accZ: -15
12:22:15.252 - accX: -115, accY: 127, accZ: -108
12:22:15.283 - accX: 50, accY: 48, accZ: -22
12:22:15.307 - accX: 109, accY: -123, accZ: 103
12:22:15.320 - accX: 3, accY: -14, accZ: 6
12:22:15.333 - accX: 30, accY: -47, accZ: -2
12:22:15.357 - accX: 57, accY: -59, accZ: -20
12:22:15.386 - accX: 107, accY: 109, accZ: 103
12:22:15.420 - accX: 15, accY: 29, accZ: 25
12:22:15.455 - accX: 40, accY: -37, accZ: 42
12:22:15.486 - accX: -17, accY: 11, accZ: 10
12:22:15.519 - accX: 21, accY: 13, accZ: 45
12:22:15.531 - accX: 6, accY: 39, accZ: 53
12:22:15.542 - accX: 21, accY: 26, accZ: 40
12:22:15.565 - accX: 24, accY: 20, accZ: 42
12:22:15.579 - accX: 11, accY: 28, accZ: 43
12:22:15.590 - accX: 1, accY: 48, accZ: 48
12:22:15.610 - accX: 6, accY: 48, accZ: 56
12:22:15.631 - accX: 11, accY: 33, accZ: 62
12:22:15.644 - accX: 14, accY: 32, accZ: 67
12:22:15.655 - accX: 14, accY: 35, accZ: 68
12:22:15.675 - accX: 10, accY: 35, accZ: 60
12:22:15.688 - accX: 6, accY: 37, accZ: 49
12:22:15.709 - accX: 0, accY: 46, accZ: 49
12:22:15.721 - accX: 3, accY: 48, accZ: 51
12:22:15.741 - accX: 7, accY: 42, accZ: 52
12:22:15.753 - accX: 10, accY: 39, accZ: 56
12:22:15.774 - accX: 11, accY: 38, accZ: 57
12:22:15.787 - accX: 10, accY: 35, accZ: 56
12:22:15.811 - accX: 6, accY: 34, accZ: 51
12:22:15.830 - accX: 3, accY: 37, accZ: 53
12:22:15.857 - accX: 3, accY: 36, accZ: 59
12:22:15.883 - accX: 3, accY: 34, accZ: 61
12:22:15.910 - accX: 1, accY: 26, accZ: 58
12:22:15.941 - accX: -2, accY: 28, accZ: 59
12:22:15.970 - accX: -3, accY: 26, accZ: 53
12:22:15.997 - accX: -1, accY: 25, accZ: 52
12:22:16.024 - accX: -1, accY: 25, accZ: 55
12:22:16.047 - accX: 0, accY: 27, accZ: 57
12:22:16.078 - accX: 1, accY: 27, accZ: 56
12:22:16.104 - accX: -3, accY: 25, accZ: 52
12:22:16.133 - accX: -3, accY: 33, accZ: 51
12:22:16.159 - accX: 0, accY: 32, accZ: 54
12:22:16.192 - accX: -4, accY: 30, accZ: 50
12:22:16.225 - accX: -3, accY: 27, accZ: 48
12:22:16.257 - accX: -3, accY: 38, accZ: 51
12:22:16.286 - accX: 0, accY: 22, accZ: 61
12:22:16.328 - accX: -1, accY: 31, accZ: 48
12:22:16.361 - accX: -4, accY: 36, accZ: 48
12:22:16.388 - accX: -2, accY: 35, accZ: 51
12:22:16.421 - accX: 1, accY: 29, accZ: 57
12:22:16.453 - accX: 1, accY: 27, accZ: 65
12:22:16.479 - accX: -5, accY: 41, accZ: 51
12:22:16.514 - accX: -6, accY: 40, accZ: 48
12:22:16.545 - accX: -4, accY: 35, accZ: 52
12:22:16.577 - accX: -5, accY: 35, accZ: 54
12:22:16.609 - accX: -5, accY: 31, accZ: 50
12:22:16.650 - accX: -9, accY: 38, accZ: 47
12:22:16.670 - accX: -10, accY: 37, accZ: 49
12:22:16.682 - accX: -8, accY: 37, accZ: 55
12:22:16.706 - accX: -8, accY: 42, accZ: 50
12:22:16.722 - accX: -9, accY: 38, accZ: 50
12:22:16.733 - accX: -10, accY: 40, accZ: 49
12:22:16.753 - accX: -10, accY: 39, accZ: 44
12:22:16.768 - accX: -10, accY: 39, accZ: 47
12:22:16.786 - accX: -9, accY: 39, accZ: 51
12:22:16.805 - accX: -8, accY: 40, accZ: 52
12:22:16.816 - accX: -10, accY: 41, accZ: 49
12:22:16.827 - accX: -11, accY: 33, accZ: 50
12:22:16.849 - accX: -7, accY: 41, accZ: 50
12:22:16.863 - accX: -5, accY: 36, accZ: 50
12:22:16.886 - accX: -7, accY: 33, accZ: 51
12:22:16.899 - accX: -9, accY: 37, accZ: 48
12:22:16.910 - accX: -7, accY: 35, accZ: 46
12:22:16.934 - accX: -9, accY: 35, accZ: 48
12:22:16.948 - accX: -9, accY: 36, accZ: 50
12:22:16.960 - accX: -5, accY: 35, accZ: 50
12:22:16.986 - accX: -7, accY: 35, accZ: 52
12:22:17.016 - accX: -12, accY: 35, accZ: 49
12:22:17.047 - accX: -12, accY: 42, accZ: 47
12:22:17.076 - accX: -12, accY: 39, accZ: 45
12:22:17.108 - accX: -13, accY: 46, accZ: 45
12:22:17.136 - accX: -7, accY: 39, accZ: 39
12:22:17.171 - accX: -15, accY: 46, accZ: 41
12:22:17.203 - accX: -17, accY: 44, accZ: 45
12:22:17.214 - accX: -16, accY: 44, accZ: 43
12:22:17.235 - accX: -14, accY: 40, accZ: 39
12:22:17.249 - accX: -17, accY: 45, accZ: 44
12:22:17.260 - accX: -18, accY: 49, accZ: 42
12:22:17.284 - accX: -18, accY: 47, accZ: 40
12:22:17.302 - accX: -18, accY: 45, accZ: 40
