13:00:03.413 - accX: 65, accY: 3, accZ: 4
13:00:03.439 - accX: 65, accY: 4, accZ: 3
13:00:03.465 - accX: 65, accY: 4, accZ: 4
13:00:03.487 - accX: 64, accY: 3, accZ: 4
13:00:03.514 - accX: 64, accY: 3, accZ: 3
13:00:03.535 - accX: 65, accY: 4, accZ: 4
13:00:03.565 - accX: 65, accY: 4, accZ: 4
13:00:03.585 - accX: 64, accY: 2, accZ: 6
13:00:03.613 - accX: 64, accY: 2, accZ: 4
13:00:03.635 - accX: 64, accY: 2, accZ: 5
13:00:03.661 - accX: 64, accY: 3, accZ: 5
13:00:03.685 - accX: 64, accY: 2, accZ: 3
13:00:03.709 - accX: 64, accY: 4, accZ: 3
13:00:03.735 - accX: 65, accY: 3, accZ: 4
13:00:03.765 - accX: 65, accY: 3, accZ: 4
13:00:03.789 - accX: 65, accY: 3, accZ: 4
13:00:03.810 - accX: 64, accY: 3, accZ: 4
13:00:03.834 - accX: 65, accY: 4, accZ: 3
13:00:03.860 - accX: 64, accY: 3, accZ: 4
13:00:03.888 - accX: 64, accY: 3, accZ: 3
13:00:03.913 - accX: 65, accY: 2, accZ: 4
13:00:03.942 - accX: 65, accY: 3, accZ: 4
13:00:03.959 - accX: 64, accY: 3, accZ: 4
13:00:03.972 - accX: 65, accY: 2, accZ: 4
13:00:04.004 - accX: 66, accY: 3, accZ: 2
13:00:04.023 - accX: 66, accY: 2, accZ: 3
13:00:04.042 - accX: 65, accY: 5, accZ: 4
13:00:04.054 - accX: 65, accY: 2, accZ: 5
13:00:04.090 - accX: 64, accY: 3, accZ: 3
13:00:04.102 - accX: 65, accY: 3, accZ: 5
13:00:04.121 - accX: 65, accY: 3, accZ: 4
13:00:04.133 - accX: 64, accY: 3, accZ: 4
13:00:04.150 - accX: 64, accY: 2, accZ: 5
13:00:04.173 - accX: 64, accY: 4, accZ: 5
13:00:04.184 - accX: 65, accY: 3, accZ: 4
13:00:04.205 - accX: 65, accY: 3, accZ: 4
13:00:04.218 - accX: 64, accY: 4, accZ: 4
13:00:04.238 - accX: 65, accY: 3, accZ: 4
13:00:04.250 - accX: 65, accY: 3, accZ: 4
13:00:04.266 - accX: 65, accY: 4, accZ: 4
13:00:04.278 - accX: 65, accY: 3, accZ: 4
13:00:04.297 - accX: 65, accY: 3, accZ: 4
13:00:04.326 - accX: 65, accY: 3, accZ: 4
13:00:04.345 - accX: 64, accY: 3, accZ: 4
13:00:04.368 - accX: 65, accY: 2, accZ: 4
13:00:04.393 - accX: 64, accY: 3, accZ: 4
13:00:04.418 - accX: 65, accY: 2, accZ: 5
13:00:04.452 - accX: 65, accY: 3, accZ: 3
13:00:04.480 - accX: 65, accY: 4, accZ: 4
13:00:04.490 - accX: 65, accY: 3, accZ: 4
13:00:04.508 - accX: 65, accY: 3, accZ: 4
13:00:04.531 - accX: 64, accY: 3, accZ: 5
13:00:04.544 - accX: 65, accY: 2, accZ: 4
13:00:04.555 - accX: 64, accY: 3, accZ: 3
13:00:04.575 - accX: 64, accY: 2, accZ: 5
13:00:04.587 - accX: 66, accY: 4, accZ: 1
13:00:04.620 - accX: 64, accY: 1, accZ: 5
13:00:04.654 - accX: 64, accY: 3, accZ: 5
13:00:04.679 - accX: 65, accY: 4, accZ: 3
13:00:04.709 - accX: 64, accY: 3, accZ: 4
13:00:04.737 - accX: 65, accY: 3, accZ: 5
13:00:04.767 - accX: 65, accY: 3, accZ: 4
13:00:04.788 - accX: 64, accY: 3, accZ: 4
13:00:04.816 - accX: 65, accY: 3, accZ: 4
13:00:04.839 - accX: 65, accY: 3, accZ: 5
13:00:04.864 - accX: 64, accY: 4, accZ: 4
13:00:04.891 - accX: 65, accY: 3, accZ: 4
13:00:04.918 - accX: 64, accY: 2, accZ: 4
13:00:04.946 - accX: 65, accY: 3, accZ: 4
13:00:04.972 - accX: 65, accY: 3, accZ: 4
13:00:04.994 - accX: 64, accY: 2, accZ: 3
