13:13:10.075 - accX: -8, accY: 5, accZ: 60
13:13:10.084 - accX: -8, accY: 3, accZ: 60
13:13:10.103 - accX: -7, accY: 4, accZ: 60
13:13:10.116 - accX: -7, accY: 3, accZ: 60
13:13:10.135 - accX: -7, accY: 3, accZ: 60
13:13:10.159 - accX: -7, accY: 4, accZ: 60
13:13:10.171 - accX: -7, accY: 4, accZ: 59
13:13:10.183 - accX: -7, accY: 3, accZ: 60
13:13:10.203 - accX: -7, accY: 4, accZ: 60
13:13:10.216 - accX: -8, accY: 3, accZ: 59
13:13:10.239 - accX: -8, accY: 3, accZ: 60
13:13:10.252 - accX: -8, accY: 3, accZ: 59
13:13:10.271 - accX: -8, accY: 4, accZ: 60
13:13:10.283 - accX: -7, accY: 4, accZ: 60
13:13:10.305 - accX: -7, accY: 3, accZ: 60
13:13:10.317 - accX: -7, accY: 3, accZ: 60
13:13:10.335 - accX: -7, accY: 3, accZ: 60
13:13:10.351 - accX: -7, accY: 3, accZ: 60
13:13:10.369 - accX: -7, accY: 4, accZ: 60
13:13:10.382 - accX: -6, accY: 3, accZ: 60
13:13:10.401 - accX: -7, accY: 3, accZ: 61
13:13:10.414 - accX: -8, accY: 3, accZ: 60
13:13:10.435 - accX: -7, accY: 4, accZ: 60
13:13:10.450 - accX: -7, accY: 3, accZ: 59
13:13:10.461 - accX: -8, accY: 3, accZ: 60
13:13:10.483 - accX: -8, accY: 3, accZ: 60
13:13:10.496 - accX: -8, accY: 3, accZ: 59
13:13:10.507 - accX: -7, accY: 4, accZ: 61
13:13:10.526 - accX: -7, accY: 3, accZ: 60
13:13:10.540 - accX: -7, accY: 3, accZ: 59
13:13:10.559 - accX: -8, accY: 3, accZ: 60
13:13:10.571 - accX: -7, accY: 3, accZ: 60
13:13:10.591 - accX: -7, accY: 4, accZ: 60
13:13:10.612 - accX: -8, accY: 3, accZ: 60
13:13:10.626 - accX: -8, accY: 3, accZ: 60
13:13:10.648 - accX: -7, accY: 3, accZ: 60
13:13:10.663 - accX: -7, accY: 4, accZ: 59
13:13:10.674 - accX: -7, accY: 3, accZ: 60
13:13:10.685 - accX: -7, accY: 3, accZ: 60
13:13:10.702 - accX: -8, accY: 2, accZ: 60
13:13:10.715 - accX: -7, accY: 3, accZ: 59
13:13:10.726 - accX: -7, accY: 2, accZ: 60
13:13:10.749 - accX: -6, accY: 3, accZ: 60
13:13:10.762 - accX: -7, accY: 3, accZ: 60
13:13:10.784 - accX: -7, accY: 3, accZ: 60
13:13:10.796 - accX: -6, accY: 3, accZ: 59
13:13:10.807 - accX: -7, accY: 3, accZ: 60
13:13:10.828 - accX: -7, accY: 4, accZ: 60
13:13:10.842 - accX: -7, accY: 3, accZ: 59
13:13:10.866 - accX: -7, accY: 3, accZ: 59
13:13:10.880 - accX: -7, accY: 3, accZ: 59
13:13:10.897 - accX: -7, accY: 3, accZ: 60
13:13:10.909 - accX: -8, accY: 3, accZ: 61
13:13:10.929 - accX: -7, accY: 3, accZ: 61
13:13:10.943 - accX: -7, accY: 3, accZ: 60
13:13:10.963 - accX: -8, accY: 3, accZ: 59
13:13:10.976 - accX: -7, accY: 2, accZ: 59
13:13:10.987 - accX: -7, accY: 3, accZ: 60
13:13:11.007 - accX: -7, accY: 3, accZ: 59
13:13:11.020 - accX: -7, accY: 3, accZ: 61
13:13:11.041 - accX: -7, accY: 5, accZ: 59
13:13:11.056 - accX: -8, accY: 3, accZ: 61
13:13:11.068 - accX: -8, accY: 3, accZ: 61
13:13:11.086 - accX: -8, accY: 2, accZ: 60
13:13:11.110 - accX: -8, accY: 3, accZ: 62
13:13:11.123 - accX: -8, accY: 3, accZ: 60
13:13:11.133 - accX: -8, accY: 4, accZ: 60
13:13:11.152 - accX: -7, accY: 3, accZ: 60
13:13:11.166 - accX: -7, accY: 3, accZ: 60
13:13:11.185 - accX: -7, accY: 2, accZ: 60
13:13:11.198 - accX: -8, accY: 3, accZ: 61
13:13:11.219 - accX: -8, accY: 3, accZ: 61
13:13:11.233 - accX: -7, accY: 3, accZ: 60
13:13:11.255 - accX: -8, accY: 3, accZ: 60
13:13:11.268 - accX: -7, accY: 3, accZ: 59
13:13:11.279 - accX: -7, accY: 3, accZ: 60
13:13:11.299 - accX: -7, accY: 3, accZ: 60
13:13:11.313 - accX: -8, accY: 3, accZ: 60
13:13:11.333 - accX: -7, accY: 4, accZ: 61
13:13:11.347 - accX: -8, accY: 4, accZ: 60
13:13:11.370 - accX: -42, accY: 2, accZ: 54
13:13:11.383 - accX: -1, accY: -1, accZ: 40
13:13:11.397 - accX: -7, accY: 1, accZ: 62
13:13:11.409 - accX: -6, accY: 4, accZ: 62
