14:32:28.097 - accX: -1, accY: 4, accZ: -6
14:32:28.131 - accX: -1, accY: 4, accZ: -5
14:32:28.161 - accX: 0, accY: 4, accZ: -4
14:32:28.189 - accX: -1, accY: 4, accZ: -5
14:32:28.216 - accX: -1, accY: 4, accZ: -5
14:32:28.240 - accX: 0, accY: 4, accZ: -4
14:32:28.270 - accX: -1, accY: 4, accZ: -5
14:32:28.304 - accX: 0, accY: 4, accZ: -5
14:32:28.325 - accX: 0, accY: 4, accZ: -4
14:32:28.344 - accX: -1, accY: 3, accZ: -5
14:32:28.357 - accX: 0, accY: 3, accZ: -5
14:32:28.372 - accX: -1, accY: 4, accZ: -5
14:32:28.382 - accX: -1, accY: 4, accZ: -4
14:32:28.402 - accX: -1, accY: 4, accZ: -5
14:32:28.415 - accX: -126, accY: 113, accZ: -105
14:32:28.441 - accX: -76, accY: 59, accZ: 13
14:32:28.454 - accX: 69, accY: -14, accZ: 50
14:32:28.466 - accX: 127, accY: -113, accZ: -128
14:32:28.480 - accX: -104, accY: -83, accZ: -122
14:32:28.513 - accX: -22, accY: 5, accZ: 5
14:32:28.547 - accX: 29, accY: 29, accZ: 23
14:32:28.588 - accX: -49, accY: -10, accZ: 76
14:32:28.626 - accX: -10, accY: -59, accZ: 79
14:32:28.638 - accX: -26, accY: -61, accZ: 71
14:32:28.653 - accX: -34, accY: -54, accZ: 62
14:32:28.664 - accX: -6, accY: -88, accZ: 23
14:32:28.690 - accX: -37, accY: -46, accZ: 82
14:32:28.704 - accX: -33, accY: -47, accZ: 77
14:32:28.727 - accX: -23, accY: -59, accZ: 77
14:32:28.741 - accX: -17, accY: -56, accZ: 71
14:32:28.751 - accX: -15, accY: -52, accZ: 65
14:32:28.773 - accX: -12, accY: -51, accZ: 52
14:32:28.786 - accX: -21, accY: -43, accZ: 47
14:32:28.806 - accX: -25, accY: -46, accZ: 43
14:32:28.820 - accX: -24, accY: -54, accZ: 39
14:32:28.831 - accX: -26, accY: -58, accZ: 35
14:32:28.854 - accX: -31, accY: -53, accZ: 34
14:32:28.867 - accX: -28, accY: -45, accZ: 34
14:32:28.879 - accX: -20, accY: -47, accZ: 31
14:32:28.902 - accX: -20, accY: -45, accZ: 30
14:32:28.915 - accX: -18, accY: -39, accZ: 33
14:32:28.926 - accX: -18, accY: -36, accZ: 32
14:32:28.949 - accX: -20, accY: -32, accZ: 31
14:32:28.963 - accX: -21, accY: -28, accZ: 29
14:32:28.974 - accX: -26, accY: -29, accZ: 29
14:32:28.997 - accX: -25, accY: -26, accZ: 26
14:32:29.011 - accX: -25, accY: -27, accZ: 25
14:32:29.021 - accX: -24, accY: -34, accZ: 23
14:32:29.050 - accX: -24, accY: -35, accZ: 23
14:32:29.066 - accX: -22, accY: -36, accZ: 24
14:32:29.077 - accX: -18, accY: -35, accZ: 21
14:32:29.088 - accX: -26, accY: -34, accZ: 19
14:32:29.098 - accX: -30, accY: -33, accZ: 19
14:32:29.120 - accX: -29, accY: -29, accZ: 16
14:32:29.134 - accX: -30, accY: -29, accZ: 14
14:32:29.155 - accX: -30, accY: -30, accZ: 13
14:32:29.172 - accX: -34, accY: -30, accZ: 13
14:32:29.184 - accX: -31, accY: -28, accZ: 12
14:32:29.199 - accX: -32, accY: -28, accZ: 10
14:32:29.212 - accX: -43, accY: -30, accZ: 11
14:32:29.226 - accX: -48, accY: -31, accZ: 5
14:32:29.241 - accX: -50, accY: -38, accZ: 0
14:32:29.261 - accX: -45, accY: -33, accZ: 7
14:32:29.275 - accX: -46, accY: -36, accZ: 10
14:32:29.297 - accX: -44, accY: -36, accZ: 10
14:32:29.311 - accX: -42, accY: -45, accZ: 8
14:32:29.324 - accX: -37, accY: -40, accZ: 11
14:32:29.336 - accX: -44, accY: -42, accZ: 12
14:32:29.360 - accX: -43, accY: -41, accZ: 11
14:32:29.375 - accX: -43, accY: -44, accZ: 11
14:32:29.385 - accX: -44, accY: -45, accZ: 12
14:32:29.409 - accX: -42, accY: -47, accZ: 10
14:32:29.423 - accX: -41, accY: -46, accZ: 7
14:32:29.436 - accX: -35, accY: -42, accZ: 3
14:32:29.448 - accX: -38, accY: -44, accZ: 4
14:32:29.471 - accX: -59, accY: -50, accZ: 11
14:32:29.485 - accX: -91, accY: -49, accZ: 12
14:32:29.496 - accX: -117, accY: -43, accZ: 12
14:32:29.519 - accX: -125, accY: -42, accZ: -1
14:32:29.533 - accX: -91, accY: -39, accZ: -22
14:32:29.547 - accX: -51, accY: -42, accZ: -32
14:32:29.558 - accX: -14, accY: -59, accZ: -32
14:32:29.582 - accX: 10, accY: -66, accZ: -16
14:32:29.597 - accX: 92, accY: -64, accZ: -10
14:32:29.609 - accX: 43, accY: -33, accZ: -3
14:32:29.622 - accX: 98, accY: 76, accZ: 127
14:32:29.648 - accX: -13, accY: 4, accZ: 35
14:32:29.663 - accX: -7, accY: -2, accZ: -4
14:32:29.681 - accX: 90, accY: -88, accZ: 79
14:32:29.695 - accX: 99, accY: -84, accZ: -35
14:32:29.708 - accX: 32, accY: -19, accZ: -20
14:32:29.720 - accX: 41, accY: -23, accZ: -21
14:32:29.751 - accX: 62, accY: -18, accZ: -22
14:32:29.767 - accX: 32, accY: -24, accZ: -15
14:32:29.782 - accX: 22, accY: -8, accZ: -4
14:32:29.804 - accX: -59, accY: -78, accZ: 43
14:32:29.819 - accX: -120, accY: -32, accZ: 4
14:32:29.833 - accX: -3, accY: 8, accZ: -10
14:32:29.848 - accX: 7, accY: -16, accZ: 20
14:32:29.864 - accX: 45, accY: -128, accZ: 17
14:32:29.878 - accX: -24, accY: -78, accZ: -85
14:32:29.893 - accX: 23, accY: -39, accZ: -8
14:32:29.906 - accX: -3, accY: -10, accZ: -11
14:32:29.919 - accX: -51, accY: -28, accZ: -17
14:32:29.945 - accX: -45, accY: -24, accZ: -24
14:32:29.958 - accX: -49, accY: -16, accZ: -20
14:32:29.969 - accX: -127, accY: -34, accZ: 67
14:32:29.983 - accX: -16, accY: -44, accZ: -6
14:32:30.009 - accX: 122, accY: -96, accZ: -121
14:32:30.024 - accX: -13, accY: 43, accZ: -78
14:32:30.039 - accX: -60, accY: 23, accZ: -128
14:32:30.051 - accX: -19, accY: 14, accZ: -83
14:32:30.064 - accX: -21, accY: 11, accZ: -32
14:32:30.089 - accX: -49, accY: -15, accZ: -33
14:32:30.104 - accX: -26, accY: -33, accZ: -21
14:32:30.116 - accX: 126, accY: -125, accZ: -23
14:32:30.130 - accX: 24, accY: -34, accZ: -46
14:32:30.155 - accX: -10, accY: 4, accZ: -19
14:32:30.169 - accX: -78, accY: 52, accZ: -14
14:32:30.183 - accX: -102, accY: 57, accZ: 72
14:32:30.197 - accX: -37, accY: 91, accZ: 124
14:32:30.211 - accX: -11, accY: 33, accZ: 47
14:32:30.238 - accX: -34, accY: -25, accZ: 19
14:32:30.252 - accX: 6, accY: -43, accZ: -15
14:32:30.266 - accX: -18, accY: 15, accZ: -13
14:32:30.281 - accX: -83, accY: 13, accZ: -35
14:32:30.294 - accX: -128, accY: 85, accZ: -119
14:32:30.309 - accX: -120, accY: 34, accZ: 16
14:32:30.338 - accX: 79, accY: -128, accZ: 108
14:32:30.358 - accX: -3, accY: -128, accZ: -128
14:32:30.373 - accX: 16, accY: 24, accZ: -128
14:32:30.387 - accX: 3, accY: 15, accZ: -88
14:32:30.402 - accX: 46, accY: 8, accZ: -74
14:32:30.416 - accX: 31, accY: 20, accZ: -63
14:32:30.433 - accX: 27, accY: 40, accZ: -50
14:32:30.447 - accX: 16, accY: 16, accZ: -30
14:32:30.472 - accX: 12, accY: 18, accZ: -36
14:32:30.487 - accX: 12, accY: 19, accZ: -35
14:32:30.509 - accX: -28, accY: -12, accZ: -75
14:32:30.524 - accX: 11, accY: 7, accZ: -53
14:32:30.539 - accX: 7, accY: -6, accZ: -108
14:32:30.554 - accX: -10, accY: -50, accZ: -70
14:32:30.568 - accX: -11, accY: -22, accZ: -29
14:32:30.582 - accX: -21, accY: -37, accZ: -31
14:32:30.605 - accX: -34, accY: -78, accZ: 30
14:32:30.620 - accX: -27, accY: -34, accZ: 24
14:32:30.632 - accX: -28, accY: -43, accZ: 9
14:32:30.658 - accX: 27, accY: -117, accZ: -97
14:32:30.673 - accX: 83, accY: -50, accZ: -83
14:32:30.687 - accX: 63, accY: 52, accZ: -84
14:32:30.700 - accX: 20, accY: -5, accZ: -38
14:32:30.715 - accX: 27, accY: -18, accZ: -73
14:32:30.740 - accX: 25, accY: -78, accZ: -86
14:32:30.755 - accX: -24, accY: -101, accZ: 31
14:32:30.769 - accX: -24, accY: -60, accZ: 123
14:32:30.783 - accX: 34, accY: -22, accZ: 83
14:32:30.799 - accX: 18, accY: 48, accZ: 102
14:32:30.813 - accX: -2, accY: 4, accZ: 45
14:32:30.831 - accX: 8, accY: -22, accZ: 74
14:32:30.846 - accX: 112, accY: -128, accZ: -120
14:32:30.861 - accX: -8, accY: -38, accZ: -64
14:32:30.877 - accX: -31, accY: -21, accZ: -61
14:32:30.904 - accX: 17, accY: -10, accZ: -78
14:32:30.938 - accX: -9, accY: -38, accZ: -46
14:32:30.955 - accX: -8, accY: -37, accZ: -46
14:32:30.980 - accX: 112, accY: -127, accZ: -39
14:32:31.002 - accX: 31, accY: 2, accZ: -3
